time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:41:02.4268656-04:00,3,299986944,1250619392,275951616,1193877504,24035328,18
2026-09-15T11:41:04.3514896-04:00,3,388349952,1335062528,364314624,1278320640,24035328,13
2026-09-15T11:41:06.2435662-04:00,3,441511936,1377222656,410591232,1314099200,30920704,27
2026-09-15T11:41:08.1872364-04:00,3,457789440,1392455680,417333248,1319874560,40456192,41
2026-09-15T11:41:09.9881610-04:00,3,450502656,1389576192,418025472,1325162496,32477184,24
2026-09-15T11:41:11.9343346-04:00,3,467365888,1402679296,421937152,1325346816,45428736,25
2026-09-15T11:41:14.0360710-04:00,3,467365888,1402679296,421937152,1325346816,45428736,28
