time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:37:58.1268599-04:00,3,211750912,174075904,187494400,117129216,24256512,49
2026-09-15T11:38:00.0442762-04:00,3,329003008,1278590976,305631232,1222627328,23371776,43
2026-09-15T11:38:01.9227374-04:00,3,404299776,1347530752,380928000,1291567104,23371776,54
2026-09-15T11:38:03.8856855-04:00,3,456720384,1391599616,406757376,1309536256,49963008,31
2026-09-15T11:38:05.8733629-04:00,3,456720384,1391599616,406757376,1309536256,49963008,31
2026-09-15T11:38:07.8274855-04:00,3,456720384,1391599616,406757376,1309536256,49963008,30
