time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:38:31.5851148-04:00,5,533934080,2411298816,510697472,2355109888,23236608,48
2026-09-15T11:38:33.4855402-04:00,5,662073344,2525417472,638836736,2469228544,23236608,71
2026-09-15T11:38:35.5543813-04:00,5,817487872,2662092800,794083328,2605813760,23404544,46
2026-09-15T11:38:37.7998438-04:00,5,844881920,2685329408,806420480,2613891072,38461440,50
2026-09-15T11:38:39.7301441-04:00,5,844881920,2685329408,806420480,2613891072,38461440,38
