time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:38:13.0618190-04:00,3,294649856,1249083392,257388544,1178873856,37261312,51
2026-09-15T11:38:14.9426373-04:00,3,375209984,1323405312,337948672,1253195776,37261312,54
2026-09-15T11:38:16.8588067-04:00,3,438632448,1378324480,401334272,1308114944,37298176,65
2026-09-15T11:38:18.8228232-04:00,3,477937664,1413009408,417005568,1319919616,60932096,54
2026-09-15T11:38:20.7054128-04:00,3,489566208,1425072128,423305216,1326596096,66260992,40
2026-09-15T11:38:22.6039384-04:00,3,466030592,1401147392,431292416,1334218752,34738176,37
2026-09-15T11:38:24.5347043-04:00,3,530890752,1466773504,429404160,1332916224,101486592,45
2026-09-15T11:38:26.4304117-04:00,3,471056384,1406869504,429404160,1332916224,41652224,21
