time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:38:46.3123339-04:00,5,524652544,2406027264,497569792,2345668608,27082752,56
2026-09-15T11:38:48.4411380-04:00,5,628903936,2493739008,601821184,2433380352,27082752,62
2026-09-15T11:38:50.5322349-04:00,5,791797760,2645979136,764715008,2585620480,27082752,55
2026-09-15T11:38:52.4854400-04:00,5,878972928,2717007872,813879296,2619334656,65093632,41
2026-09-15T11:38:54.4055769-04:00,5,878981120,2717007872,813879296,2619334656,65101824,32
