time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:39:00.1327703-04:00,5,521986048,2402246656,490827776,2337738752,31158272,63
2026-09-15T11:39:02.1596071-04:00,5,628043776,2493317120,596885504,2428809216,31158272,54
2026-09-15T11:39:04.1612169-04:00,5,808550400,2659569664,777392128,2595061760,31158272,62
2026-09-15T11:39:06.1772652-04:00,5,891400192,2730815488,823021568,2629730304,68378624,65
2026-09-15T11:39:08.1403974-04:00,5,887832576,2726600704,839442432,2645532672,48390144,48
2026-09-15T11:39:10.1131926-04:00,5,983937024,2822586368,845996032,2651967488,137940992,48
2026-09-15T11:39:12.3106133-04:00,5,901251072,2739257344,852832256,2658267136,48418816,47
2026-09-15T11:39:14.4494312-04:00,5,1064992768,2904236032,858857472,2665508864,206135296,31
2026-09-15T11:39:16.4066877-04:00,5,988102656,2827436032,858857472,2665508864,129245184,22
