time,procs,ws_total,priv_total,ws_python,priv_python,ws_root,cpu_load
2026-09-15T11:41:19.2428118-04:00,5,562262016,2433339392,535818240,2373750784,26443776,16
2026-09-15T11:41:21.1450201-04:00,5,734588928,2596339712,709230592,2537865216,25358336,23
2026-09-15T11:41:22.9652326-04:00,5,877211648,2716590080,821497856,2627878912,55713792,38
2026-09-15T11:41:24.8899050-04:00,5,860631040,2698285056,829267968,2634231808,31363072,35
2026-09-15T11:41:26.7218580-04:00,5,874160128,2710556672,835149824,2639069184,39010304,38
2026-09-15T11:41:28.5906786-04:00,5,914231296,2752790528,843390976,2649169920,70840320,31
2026-09-15T11:41:30.5955707-04:00,5,914296832,2752790528,843390976,2649169920,70905856,24
