== 30: by own time ==
         24219840 function calls (23614295 primitive calls) in 15.199 seconds

   Ordered by: internal time
   List reduced from 107 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 302956/9    2.690    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:203(__init__)
 302481/0    2.218    0.000    0.000          C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:508(to_pnt)
        5    1.569    0.314    1.569    0.314 {built-in method OCP.OCP.BRepBndLib.AddOptimal_s}
  1815360    1.293    0.000    1.293    0.000 {built-in method builtins.repr}
   302560    1.144    0.000    2.243    0.000 C:\Users\damon\AppData\Local\Temp\claude\C--Users-damon-Downloads-agents\9c73bcba-7500-4641-9433-f7c8efd05843\scratchpad\m1m\sidecar-main-81c6263.py:2338(_shape_key)
  5147344    1.043    0.000    1.043    0.000 {method 'get' of 'dict' objects}
        5    0.648    0.130    0.648    0.130 {built-in method OCP.OCP.BRepTools.Clean_s}
   907755    0.648    0.000    0.648    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:317(wrapped)
  3625772    0.535    0.000    0.535    0.000 {built-in method builtins.setattr}
  2723116    0.457    0.000    0.457    0.000 {method 'append' of 'list' objects}
   302591    0.424    0.000    0.424    0.000 {built-in method OCP.OCP.TopoDS.TopoDS.Compound}
  1211763    0.362    0.000    0.513    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:211(<genexpr>)
   303576    0.303    0.000    0.816    0.000 {built-in method builtins.all}
   605120    0.260    0.000    0.412    0.000 C:\Users\damon\AppData\Local\Temp\claude\C--Users-damon-Downloads-agents\9c73bcba-7500-4641-9433-f7c8efd05843\scratchpad\m1m\sidecar-main-81c6263.py:271(_location_of)
   907681    0.244    0.000    0.244    0.000 {built-in method __new__ of type object at 0x00007FF880FD98A0}
   302560    0.189    0.000    0.189    0.000 {built-in method builtins.sorted}
   907715    0.167    0.000    0.167    0.000 {built-in method builtins.id}
   910925    0.152    0.000    0.153    0.000 {built-in method builtins.isinstance}
   303546    0.152    0.000    0.152    0.000 {method 'difference' of 'set' objects}
   303546    0.147    0.000    0.147    0.000 {method 'join' of 'str' objects}
   607166    0.104    0.000    0.104    0.000 {built-in method builtins.len}
   302561    0.080    0.000    0.080    0.000 {method 'values' of 'dict' objects}
   605142    0.074    0.000    0.074    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1805(wrapped)
   302566    0.073    0.000    0.073    0.000 {method 'items' of 'dict' objects}
   303546    0.071    0.000    0.071    0.000 {method 'keys' of 'dict' objects}
   302739    0.064    0.000    0.064    0.000 {built-in method builtins.max}
   302561    0.045    0.000    0.045    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:323(wrapped)
   303843    0.042    0.000    0.042    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:279(wrapped)
     49/3    0.001    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:3779(shapetype)
        4    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:802(compute_mass)
        4    0.000    0.000    0.000    0.000 {built-in method OCP.OCP.BRepGProp.VolumeProperties_s}
      406    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      794    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1051(__init__)
      406    0.000    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:293(__init__)
      4/0    0.000    0.000    0.000          C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:3834(_make_topods_compound_from_shapes)
     27/1    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:3701(downcast)
      473    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:3260(to_gp_ax2)



== 30: by cumulative time ==
         24219840 function calls (23614295 primitive calls) in 15.199 seconds

   Ordered by: cumulative time
   List reduced from 107 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   302560    1.144    0.000    2.243    0.000 C:\Users\damon\AppData\Local\Temp\claude\C--Users-damon-Downloads-agents\9c73bcba-7500-4641-9433-f7c8efd05843\scratchpad\m1m\sidecar-main-81c6263.py:2338(_shape_key)
        5    1.569    0.314    1.569    0.314 {built-in method OCP.OCP.BRepBndLib.AddOptimal_s}
  1815360    1.293    0.000    1.293    0.000 {built-in method builtins.repr}
  5147344    1.043    0.000    1.043    0.000 {method 'get' of 'dict' objects}
   303576    0.303    0.000    0.816    0.000 {built-in method builtins.all}
        5    0.648    0.130    0.648    0.130 {built-in method OCP.OCP.BRepTools.Clean_s}
   907755    0.648    0.000    0.648    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:317(wrapped)
  3625772    0.535    0.000    0.535    0.000 {built-in method builtins.setattr}
  1211763    0.362    0.000    0.513    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:211(<genexpr>)
