== 100: by own time ==
         204223857 function calls (186141199 primitive calls) in 98.945 seconds

   Ordered by: internal time
   List reduced from 108 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
14049614/3   14.087    0.000    0.000    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:119(deepcopy)
2016321/0   10.268    0.000    0.000          C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1712(__init__)
1008556/9    6.911    0.000    0.000    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:203(__init__)
 45241735    6.489    0.000    6.489    0.000 {method 'get' of 'dict' objects}
1008081/0    6.484    0.000    0.000          C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:508(to_pnt)
   992001    5.573    0.000   11.634    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:201(_deepcopy_tuple)
  1008160    5.150    0.000    5.150    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:205(iterencode)
        5    4.161    0.832    4.161    0.832 {built-in method OCP.OCP.BRepBndLib.AddOptimal_s}
  1008161    3.568    0.000   12.764    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:1891(__deepcopy__)
 20166391    3.227    0.000    3.228    0.000 {built-in method builtins.isinstance}
  1008160    2.804    0.000   13.324    0.000 C:/Users/damon/AppData/Local/Temp/claude/C--Users-damon-Downloads-agents/9c73bcba-7500-4641-9433-f7c8efd05843/scratchpad/meas/before/sidecar.py:1650(_shape_key)
  1008160    2.745    0.000    2.745    0.000 {built-in method builtins.repr}
 24115066    2.607    0.000    2.607    0.000 {built-in method builtins.id}
 18147674    2.345    0.000    2.345    0.000 {method 'pop' of 'dict' objects}
  3024555    1.975    0.000    1.975    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\topology\shape_core.py:317(wrapped)
        5    1.960    0.392    1.960    0.392 {built-in method OCP.OCP.BRepTools.Clean_s}
  3024484    1.938    0.000    2.741    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:232(_keep_alive)
  1008160    1.732    0.000    9.171    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py:183(dumps)
 12081772    1.619    0.000    1.619    0.000 {built-in method builtins.setattr}
 11089787    1.569    0.000    1.569    0.000 {method 'append' of 'list' objects}
  1008160    1.370    0.000    7.065    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py:183(encode)
  1008191    1.225    0.000    1.225    0.000 {built-in method OCP.OCP.TopoDS.TopoDS.Compound}
  4034163    1.089    0.000    1.463    0.000 C:\Users\damon\Downloads\agents\jarvis-k2b\.cadvenv\Lib\site-packages\build123d\geometry.py:211(<genexpr>)
  1009176    0.942    0.000    2.405    0.000 {built-in method builtins.all}
  1008161    0.726    0.000    1.033    0.000 C:\Users\damon\AppData\Local\Programs\Python\Python313\Lib\copy.py:218(_deepcopy_dict)
  3984165    0.644    0.000    0.644    0.000 {built-in method builtins.getattr}
